receive_time_iso,send_timestamp,temperature,humidity
2025-10-16T09:54:11.800584Z,1760608450,24.77,61.56
2025-10-16T09:54:12.564787Z,1760608451,28.58,38.17
2025-10-16T09:54:13.377769Z,1760608452,29.43,60.4
2025-10-16T09:54:14.588786Z,1760608453,24.94,40.89
2025-10-16T09:54:15.365126Z,1760608454,24.3,77.32
2025-10-16T09:54:16.548482Z,1760608455,29.07,49.49
2025-10-16T09:54:17.338731Z,1760608456,27.14,72.64
2025-10-16T09:54:18.458512Z,1760608457,29.37,71.73
2025-10-16T09:54:19.860028Z,1760608458,24.97,40.24
2025-10-16T09:54:20.735070Z,1760608459,21.56,62.19
2025-10-16T09:54:21.571945Z,1760608460,26.73,37.31
2025-10-16T09:54:22.490167Z,1760608461,23.3,78.46
2025-10-16T09:54:23.600363Z,1760608462,23.73,33.31
2025-10-16T09:54:24.528774Z,1760608463,23.86,72.92
2025-10-16T09:54:25.368173Z,1760608464,23.78,78.21
2025-10-16T09:54:26.476045Z,1760608465,20.84,40.25
2025-10-16T09:54:27.583741Z,1760608466,27.66,76.4
2025-10-16T09:54:28.458964Z,1760608467,28.45,30.95
2025-10-16T09:54:29.589754Z,1760608468,20.04,63.13
2025-10-16T09:54:30.405099Z,1760608469,21.28,47.35
2025-10-16T09:54:31.538402Z,1760608470,24.52,44.35
2025-10-16T09:54:32.623878Z,1760608471,26.95,57.86
2025-10-16T09:54:33.411207Z,1760608472,24.73,66.54
2025-10-16T09:54:34.459646Z,1760608473,23.13,78.28
2025-10-16T09:54:35.906453Z,1760608474,26.86,56.05
2025-10-16T09:54:36.665216Z,1760608475,25.18,47.59
2025-10-16T09:54:37.502356Z,1760608476,24.07,39.45
2025-10-16T09:54:38.672706Z,1760608477,27.76,79.28
2025-10-16T09:54:39.459591Z,1760608478,21.2,33.63
2025-10-16T09:54:40.685462Z,1760608479,29.03,72.21
2025-10-16T09:54:41.481126Z,1760608480,23.6,69.45
2025-10-16T09:54:43.314293Z,1760608481,20.11,42.82
2025-10-16T09:54:43.936090Z,1760608482,25.7,77.5
2025-10-16T09:54:44.857241Z,1760608483,20.82,52.56
2025-10-16T09:54:45.423749Z,1760608484,29.89,54.34
2025-10-16T09:54:46.389043Z,1760608485,27.97,43.16
2025-10-16T09:54:47.605007Z,1760608486,23.0,34.91
2025-10-16T09:54:48.402509Z,1760608487,22.5,48.6
2025-10-16T09:54:49.552945Z,1760608488,29.57,77.91
2025-10-16T09:54:50.360148Z,1760608489,22.45,59.46
2025-10-16T09:54:51.463967Z,1760608490,28.48,32.88
2025-10-16T09:54:52.516190Z,1760608491,22.81,65.36
2025-10-16T09:54:53.616623Z,1760608492,22.61,56.06
2025-10-16T09:54:54.425037Z,1760608493,25.78,57.5
2025-10-16T09:54:55.525331Z,1760608494,28.85,73.52
2025-10-16T09:54:56.590270Z,1760608495,21.81,31.0
2025-10-16T09:54:57.392275Z,1760608496,20.56,56.72
2025-10-16T09:54:58.505616Z,1760608497,29.29,78.63
2025-10-16T09:54:59.816102Z,1760608498,28.2,43.89
2025-10-16T09:55:00.317402Z,1760608499,24.58,36.19
2025-10-16T09:55:01.493794Z,1760608500,24.02,75.5
2025-10-16T09:55:02.682818Z,1760608501,21.42,49.1
2025-10-16T09:55:03.478797Z,1760608502,28.73,61.55
2025-10-16T09:55:04.622641Z,1760608503,29.38,54.2
2025-10-16T09:55:05.685180Z,1760608504,27.59,62.65
2025-10-16T09:55:06.482657Z,1760608505,22.38,52.6
2025-10-16T09:55:07.530006Z,1760608506,26.6,58.5
2025-10-16T09:55:08.633930Z,1760608507,20.48,50.27
2025-10-16T09:55:09.737143Z,1760608508,28.54,39.21
2025-10-16T09:55:10.819528Z,1760608509,28.49,62.43
